Wbox_SKU,Reference,Description,Value,KiCad Footprint,Datasheet,Package,MF_Name,MF_PN,S1_Name,S1_PN,Qty,Verified_FP
66,U, IC CONTROLLR LI-ION 4.2V SOT23-5 , MCP73831T-2ACI/OT ,,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en025112,SOT23-5,Microchip, MCP73831T-2ACI/OT ,Digikey, MCP73831T-2ACI/OTCT-ND ,9,No
67,U, IC QUAD1:2 FET MUX/DEMUX 16TSSOP ,SN74CB3Q3257,,http://www.ti.com/lit/ds/symlink/sn74cb3q3257.pdf,TSSOP16,TI,SN74CB3Q3257PWR,Digikey, 296-19138-1-ND ,16,No
68,U, IC TXRX USB ULPI 13MHZ 24QFN ,USB-PHY-3318,,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en562029,QFN24,Microchip, USB3318C-CP-TR ,Digikey, USB3318C-CP-CT-ND ,4,No
69,U, IC LI-ION/LI-POLY CTRLR 10MSOP ,MCP73833,,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en027983,MSOP10,Microchip, MCP73833-AMI/UN ,Digikey, MCP73833-AMI/UN-ND ,7,No
70,U, IC GPS RECEIVER 28TQFN ,MAX2769,,http://datasheets.maximintegrated.com/en/ds/MAX2769.pdf,QFN28,Maxim, MAX2769ETI+ ,Digikey, MAX2769ETI+-ND ,4,No
71,U, IC MOTOR DRIVER PAR 30MULTIPWRSO , VNH5019,,http://www.st.com/web/en/resource/technical/document/datasheet/CD00234623.pdf,MULTIPWRSO30,STM, VNH5019ATR-E ,Digikey, 497-13073-1-ND ,2,No
72,U, IC USB-TO-UART BRIDGE 28VQFN ,CP2102,,http://www.silabs.com/Support%20Documents/TechnicalDocs/CP2102-9.pdf,VQFN28,Silicon Labs, CP2102-GMR ,Digikey, 336-1160-1-ND ,9,No
73,U, IC I/O EXPANDER I2C 8B 18SOIC ,MCP23008,,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en021920,SOIC18,Microchip, MCP23008T-E/SO ,Digikey, MCP23008T-E/SOTR-ND ,5,No
74,U, IC SHIFTER HEX HIGH-LOW 16SOIC ,74HC4050,,http://www.nxp.com/documents/data_sheet/74HC4050.pdf,SOIC16,NXP," 74HC4050D,652 ",Digikey, 568-1453-5-ND ,24,No
75,U, GYRO/ACCELEROMETER 9-AXIS 24LGA MPU9150,,,http://store.invensense.com/datasheets/invensense/MPU-9150_DataSheet_V4%203.pdf,LGA24,Invensense,MPU-9150,Digikey, 1428-1009-1-ND ,5,No
76,U, GYRO/ACCELEROMETER 6AXIS 24QFN ,MPU6000,,http://store.invensense.com/datasheets/invensense/MPU-6050_DataSheet_V3%204.pdf,QFN24,Invensense,MPU-6000,Digikey,1428-1005-1-ND,1,No
77,U, IC VOLT-LEVEL TRANSLATOR 14TSSOP ,TXB0104,,http://www.ti.com/lit/ds/symlink/txb0104.pdf,TSSOP14,TI, TXB0104PWR ,Digikey, 296-21929-1-ND ,9,No
78,L, FIXED IND 3.3UH 575MA 300 MOHM ,3.3uH,,http://www.bourns.com/docs/Product-Datasheets/78f_series.pdf,78F-AXIAL,Bourns, 78F3R3J-RC ,Digikey, 78F3R3J-RC-ND ,8,No
79,L, FIXED IND 3.3NH 500MA 150 MOHM ,3.3nH,,http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/L0075S0083LQG18H.pdf,0603,Murata,LQG18HN3N3S00D,Digikey, 490-1104-1-ND ,9,No
